name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
23.0,2019,650000,30000,2.0,1.0,1.0,1.0,21.4,1197.0,83.1,5.0
58.0,2016,540000,40000,1.0,1.0,1.0,1.0,22.0,1498.0,108.495,5.0
59.0,2015,630000,135000,1.0,1.0,1.0,1.0,25.1,1498.0,98.6,5.0
60.0,2018,448000,30000,2.0,1.0,2.0,1.0,20.51,998.0,67.0,5.0
61.0,2017,500000,80000,1.0,1.0,1.0,1.0,21.66,1498.0,108.62,5.0
62.0,2019,1025000,9850,1.0,1.0,2.0,1.0,24.3,1248.0,88.5,5.0
63.0,2016,630000,70000,1.0,1.0,1.0,1.0,25.2,1248.0,74.0,5.0
42.0,2015,1700000,78000,1.0,1.0,1.0,2.0,12.55,2982.0,168.5,7.0
64.0,2013,450000,120000,1.0,1.0,1.0,2.0,22.9,1248.0,74.0,5.0
65.0,2012,450000,120000,2.0,1.0,1.0,2.0,16.02,1373.0,93.7,7.0
66.0,2003,50000,70000,1.0,1.0,1.0,1.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
67.0,2013,450000,170000,1.0,1.0,1.0,1.0,20.54,1598.0,103.6,5.0
68.0,2016,1200000,140000,1.0,1.0,1.0,1.0,12.99,2494.0,100.6,8.0
69.0,2015,610000,90000,1.0,1.0,1.0,1.0,22.77,1498.0,98.59,5.0
70.0,2016,2500000,30000,2.0,1.0,2.0,2.0,15.71,1998.0,189.0,5.0
71.0,2017,484999,10000,2.0,2.0,1.0,1.0,23.1,998.0,67.04,5.0
72.0,2016,275000,49000,2.0,2.0,1.0,1.0,19.02,1198.0,67.05,5.0
73.0,2016,315000,32000,2.0,2.0,1.0,1.0,24.7,796.0,47.3,5.0
74.0,2016,275000,38000,2.0,2.0,1.0,1.0,24.7,796.0,47.3,5.0
75.0,2015,475000,78000,1.0,2.0,1.0,1.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
76.0,2012,290000,28000,2.0,2.0,1.0,1.0,19.81,1086.0,68.05,5.0
29.0,2017,280000,32000,2.0,2.0,1.0,1.0,14.0,796.0,35.0,5.0
77.0,2010,225000,44000,3.0,2.0,1.0,1.0,36.68,998.0,58.2,5.0
78.0,2015,455000,42000,2.0,2.0,1.0,1.0,16.47,1198.0,74.0,5.0
79.0,2015,351000,45000,2.0,2.0,1.0,2.0,19.81,1086.0,68.05,5.0
80.0,2012,535000,12000,2.0,2.0,1.0,2.0,15.04,1598.0,103.6,5.0
81.0,2009,175000,55500,2.0,2.0,1.0,1.0,18.2,998.0,67.1,5.0
82.0,2013,525000,61500,2.0,2.0,1.0,1.0,18.5,1197.0,82.85,5.0
83.0,2016,600000,150000,1.0,1.0,1.0,1.0,26.59,1248.0,74.0,5.0
84.0,2016,565000,72000,2.0,2.0,2.0,1.0,19.1,1197.0,82.0,5.0
85.0,2008,120000,68000,2.0,2.0,1.0,3.0,19.7,796.0,46.3,5.0
86.0,2017,725000,110000,1.0,1.0,1.0,1.0,22.54,1396.0,88.73,5.0
87.0,2009,185000,77000,2.0,2.0,1.0,2.0,21.79,998.0,67.05,5.0
88.0,2010,200000,100000,1.0,1.0,1.0,2.0,18.8,1248.0,90.0,5.0
89.0,2019,615000,10000,2.0,1.0,1.0,1.0,21.21,1197.0,81.8,5.0
90.0,2018,610000,35000,2.0,1.0,1.0,1.0,21.4,1197.0,83.1,5.0
91.0,2014,625000,70000,1.0,1.0,2.0,2.0,11.79,2179.0,120.0,8.0
92.0,2020,400000,5000,2.0,1.0,1.0,2.0,19.0,1194.0,94.68,5.0
93.0,2017,866000,37800,2.0,1.0,1.0,1.0,17.0,1591.0,121.3,5.0
94.0,2010,700000,114000,2.0,1.0,1.0,1.0,14.3,1798.0,160.0,5.0
95.0,2019,1700000,32000,1.0,1.0,1.0,1.0,15.1,2179.0,155.0,7.0
96.0,2016,375000,100000,1.0,1.0,1.0,1.0,19.09,1405.0,69.01,5.0
97.0,2013,522000,150000,1.0,1.0,1.0,2.0,22.32,1582.0,126.32,5.0
98.0,2013,451999,69000,1.0,1.0,1.0,1.0,21.9,1396.0,88.76,5.0
99.0,2009,300000,100000,2.0,1.0,1.0,2.0,14.53,1798.0,138.1,5.0
100.0,2020,475000,13000,2.0,1.0,1.0,1.0,21.63,998.0,67.04,5.0
101.0,2016,780000,60000,1.0,1.0,1.0,1.0,24.3,1248.0,88.5,5.0
102.0,2017,595000,40000,2.0,1.0,1.0,1.0,20.85,1197.0,83.14,5.0
103.0,2010,300000,120000,1.0,1.0,1.0,2.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
104.0,2014,400000,70000,1.0,1.0,1.0,3.0,20.45,1461.0,83.8,5.0
105.0,2016,1140000,50000,1.0,1.0,1.0,1.0,19.67,1582.0,126.2,5.0
12.0,2012,370000,175000,1.0,1.0,1.0,4.0,19.3,1248.0,73.9,5.0
106.0,2018,350000,25000,2.0,1.0,1.0,1.0,23.01,999.0,67.0,5.0
100.0,2015,360000,40000,2.0,1.0,1.0,2.0,23.1,998.0,67.04,5.0
107.0,2008,105000,65000,2.0,1.0,1.0,4.0,19.7,796.0,46.3,5.0
108.0,2009,135000,80000,2.0,1.0,1.0,2.0,17.92,1086.0,62.1,5.0
109.0,2015,700000,110000,1.0,1.0,1.0,2.0,20.77,1248.0,88.76,7.0
110.0,2019,690000,1303,2.0,2.0,1.0,1.0,17.8,1198.0,86.7,5.0
111.0,2018,3975000,31800,1.0,2.0,2.0,1.0,17.01,1968.0,188.0,5.0
112.0,2019,5150000,20000,2.0,2.0,2.0,1.0,22.37,2487.0,214.56,5.0
113.0,2017,3200000,45000,1.0,2.0,2.0,1.0,19.33,1999.0,177.0,5.0
114.0,2019,4500000,21000,1.0,2.0,2.0,1.0,12.83,1999.0,148.31,7.0
115.0,2017,6000000,37000,1.0,2.0,2.0,1.0,13.5,2987.0,254.79,5.0
116.0,2018,3790000,29500,1.0,2.0,2.0,1.0,22.48,1995.0,187.74,5.0
117.0,2017,2150000,27000,1.0,2.0,2.0,1.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
118.0,2019,5800000,7500,1.0,2.0,2.0,1.0,16.78,1995.0,190.0,5.0
119.0,2018,1864999,50000,2.0,2.0,2.0,1.0,14.67,1798.0,177.46,5.0
120.0,2016,2700000,35000,1.0,2.0,2.0,1.0,15.0,2143.0,204.0,5.0
121.0,2019,1750000,19000,2.0,2.0,2.0,1.0,13.96,1451.0,141.0,5.0
122.0,2013,625000,39000,2.0,2.0,2.0,1.0,14.28,1798.0,138.03,5.0
123.0,2018,3400000,22000,1.0,2.0,2.0,1.0,18.0,1969.0,190.0,5.0
124.0,2015,2650000,53000,1.0,2.0,2.0,1.0,12.07,2967.0,241.4,7.0
125.0,2015,535000,40000,1.0,2.0,1.0,1.0,26.21,1248.0,88.5,5.0
115.0,2017,5850000,47000,1.0,2.0,2.0,1.0,13.5,2987.0,282.0,5.0
126.0,2010,975000,72200,2.0,2.0,2.0,2.0,10.8,2497.0,150.0,5.0
127.0,2017,2625000,9000,1.0,2.0,2.0,1.0,13.6,1999.0,177.0,5.0
128.0,2018,811000,11000,2.0,2.0,1.0,1.0,17.0,1198.0,108.5,5.0
80.0,2011,375000,49000,2.0,1.0,1.0,1.0,15.04,1598.0,103.6,5.0
129.0,2012,550000,95000,2.0,1.0,1.0,1.0,16.3,1797.0,147.5,5.0
130.0,2016,645000,11000,2.0,2.0,2.0,1.0,14.3,1598.0,103.5,5.0
131.0,2018,2550000,18000,2.0,2.0,2.0,1.0,15.04,1991.0,183.0,5.0
132.0,2017,2700000,16000,2.0,2.0,2.0,1.0,14.74,1991.0,181.04,5.0
133.0,2017,875000,18000,2.0,2.0,2.0,1.0,15.6,1497.0,116.3,5.0
134.0,2019,894999,9654,2.0,2.0,2.0,1.0,19.56,1197.0,81.8,5.0
41.0,2011,175000,11000,2.0,2.0,1.0,1.0,23.95,998.0,67.05,5.0
89.0,2012,340000,24300,2.0,2.0,1.0,1.0,21.21,1197.0,81.8,5.0
135.0,2018,1025000,8000,1.0,2.0,2.0,1.0,21.5,1497.0,108.5,5.0
136.0,2016,2150000,30000,1.0,2.0,2.0,1.0,22.69,1995.0,190.0,5.0
137.0,2016,1900000,41000,2.0,2.0,2.0,1.0,19.16,2494.0,157.7,5.0
138.0,2016,2900000,12000,1.0,2.0,2.0,1.0,18.12,1995.0,190.0,5.0
139.0,2009,450000,71000,2.0,2.0,2.0,1.0,12.1,2362.0,164.7,5.0
140.0,2016,850000,20000,2.0,1.0,1.0,1.0,17.5,1373.0,91.1,7.0
141.0,2017,10000000,30000,2.0,1.0,2.0,1.0,42.0,1969.0,400.0,4.0
142.0,2018,575000,9500,2.0,1.0,1.0,1.0,18.16,1196.0,86.8,5.0
143.0,2011,160000,120000,1.0,1.0,1.0,1.0,20.0,1399.0,68.0,5.0
144.0,2015,515000,36600,2.0,1.0,1.0,1.0,20.4,1197.0,81.8,5.0
60.0,2015,390000,50000,2.0,1.0,2.0,2.0,20.51,998.0,67.0,5.0
145.0,2016,550000,14000,2.0,1.0,1.0,2.0,18.6,1197.0,81.83,5.0
36.0,1999,40000,40000,2.0,1.0,1.0,2.0,16.1,796.0,37.0,4.0
146.0,2010,220000,120000,1.0,1.0,1.0,1.0,21.1,1248.0,73.9,5.0
147.0,2015,425000,70000,2.0,1.0,1.0,1.0,18.9,1197.0,82.0,5.0
148.0,2019,480000,13000,2.0,1.0,1.0,1.0,19.44,999.0,75.0,5.0
102.0,2014,487000,35000,2.0,1.0,1.0,1.0,19.1,1197.0,85.8,5.0
149.0,2016,386000,44000,2.0,1.0,1.0,2.0,19.1,1197.0,82.0,5.0
150.0,2005,100000,120000,2.0,1.0,1.0,2.0,13.0,1493.0,100.0,5.0
151.0,2010,300000,60000,1.0,1.0,1.0,1.0,21.43,1364.0,87.2,5.0
152.0,2000,100000,60000,2.0,1.0,1.0,1.0,18.5,796.0,53.0,5.0
153.0,2014,1750000,30000,1.0,1.0,1.0,2.0,13.0,2982.0,168.5,7.0
154.0,2016,450000,15000,2.0,1.0,1.0,2.0,18.15,1198.0,82.0,6.0
155.0,2017,490000,90000,1.0,1.0,1.0,1.0,22.95,1248.0,74.0,5.0
156.0,2009,345000,47000,2.0,1.0,1.0,2.0,17.0,1497.0,118.0,5.0
157.0,2005,85000,90000,2.0,1.0,1.0,1.0,17.3,993.0,60.0,5.0
158.0,2005,65000,86000,2.0,1.0,1.0,1.0,15.3,1341.0,83.0,5.0
159.0,2017,800000,37000,1.0,1.0,1.0,1.0,28.09,1248.0,88.5,5.0
160.0,2019,520000,14000,2.0,1.0,1.0,1.0,20.3,1199.0,84.0,5.0
109.0,2015,580000,70000,1.0,1.0,1.0,1.0,20.77,1248.0,88.76,7.0
161.0,2012,235000,120000,1.0,1.0,1.0,1.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
162.0,2015,600000,50000,2.0,1.0,1.0,1.0,17.4,1497.0,117.3,5.0
163.0,2016,360000,50000,4.0,1.0,1.0,1.0,37.24,998.0,58.16,5.0
102.0,2017,550000,50000,2.0,1.0,1.0,1.0,20.85,1197.0,83.14,5.0
164.0,2003,40000,90000,2.0,1.0,1.0,2.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
60.0,2018,420000,35000,2.0,1.0,2.0,1.0,20.51,998.0,67.0,5.0
165.0,2017,550000,20000,2.0,1.0,1.0,1.0,21.21,1197.0,81.8,5.0
166.0,2018,700000,7800,2.0,1.0,2.0,1.0,22.0,1197.0,81.8,5.0
144.0,2017,500000,20000,2.0,1.0,1.0,1.0,20.4,1197.0,81.8,5.0
167.0,2019,1250000,15000,1.0,1.0,1.0,1.0,17.6,2179.0,147.94,7.0
168.0,2013,320000,31377,2.0,1.0,1.0,2.0,18.5,1197.0,82.85,5.0
1.0,2018,700000,50000,1.0,1.0,1.0,1.0,28.4,1248.0,74.02,5.0
169.0,2015,290000,60000,2.0,1.0,1.0,1.0,20.51,998.0,67.04,5.0
170.0,2012,550000,100000,2.0,1.0,2.0,1.0,14.53,1794.0,138.1,5.0
171.0,2018,830000,5000,2.0,1.0,2.0,1.0,21.4,1197.0,83.1,5.0
172.0,2017,800000,60000,1.0,1.0,1.0,1.0,14.1,2179.0,147.94,7.0
173.0,2017,329000,80000,2.0,1.0,1.0,2.0,20.63,1198.0,67.0,5.0
174.0,2017,775000,75000,1.0,1.0,1.0,1.0,24.3,1248.0,88.5,5.0
175.0,2020,524000,32000,2.0,1.0,1.0,1.0,20.14,1197.0,81.86,5.0
24.0,2015,245000,40000,2.0,1.0,1.0,1.0,22.74,796.0,47.3,5.0
176.0,2012,275000,93000,2.0,1.0,1.0,2.0,17.0,1197.0,80.0,5.0
177.0,2018,520000,60000,2.0,1.0,1.0,1.0,17.57,1193.0,88.7,5.0
13.0,2008,130000,120000,2.0,1.0,1.0,2.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
178.0,2014,550000,37000,2.0,1.0,1.0,1.0,16.95,1498.0,97.7,5.0
179.0,2018,910000,15000,2.0,1.0,1.0,1.0,17.0,1497.0,121.36,5.0
180.0,2016,350000,140000,2.0,1.0,1.0,1.0,20.51,998.0,67.04,5.0
181.0,2013,900000,70000,1.0,1.0,1.0,1.0,12.83,2696.0,162.0,7.0
182.0,2013,300000,120000,1.0,1.0,1.0,2.0,17.21,1493.0,100.0,7.0
183.0,2010,250000,110000,1.0,1.0,1.0,2.0,21.1,1248.0,73.9,5.0
184.0,2017,1100000,37000,1.0,1.0,1.0,1.0,19.67,1582.0,126.2,5.0
185.0,2016,270000,44000,2.0,1.0,1.0,1.0,25.17,799.0,53.3,5.0
109.0,2015,640000,80000,1.0,1.0,1.0,1.0,20.77,1248.0,88.76,7.0
186.0,2015,650000,125000,1.0,1.0,1.0,1.0,15.1,2179.0,140.0,7.0
187.0,2017,409999,13500,2.0,1.0,1.0,1.0,15.37,1196.0,73.0,5.0
108.0,2011,165000,75000,2.0,1.0,1.0,1.0,17.92,1086.0,62.1,5.0
188.0,2007,80000,120000,2.0,1.0,1.0,2.0,13.2,1495.0,94.0,5.0
189.0,2012,535000,120000,1.0,1.0,1.0,1.0,15.1,2179.0,140.0,7.0
190.0,2013,700000,70000,1.0,1.0,1.0,1.0,12.99,2494.0,100.57,7.0
1.0,2013,550000,70000,1.0,1.0,1.0,1.0,23.4,1248.0,74.0,5.0
191.0,2019,680000,15000,2.0,1.0,2.0,1.0,19.0,1199.0,88.76,5.0
192.0,2009,200000,53000,2.0,1.0,1.0,2.0,20.36,1197.0,78.9,5.0
1.0,2014,500000,120000,1.0,1.0,1.0,2.0,23.4,1248.0,74.0,5.0
193.0,2016,1000000,70000,1.0,1.0,1.0,1.0,24.52,1248.0,88.5,7.0
194.0,2008,110000,120000,2.0,1.0,1.0,2.0,14.2,1341.0,82.9,5.0
195.0,2012,320000,100000,2.0,1.0,1.0,2.0,18.5,1197.0,80.0,5.0
66.0,2005,75000,110000,1.0,1.0,1.0,2.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
196.0,2015,350000,100000,2.0,1.0,1.0,1.0,20.4,1197.0,83.11,5.0
197.0,2013,170000,162500,1.0,1.0,1.0,1.0,19.4,1405.0,70.0,5.0
18.0,2017,800000,39000,1.0,1.0,1.0,1.0,22.54,1396.0,88.73,5.0
198.0,2017,500000,75000,1.0,1.0,1.0,1.0,26.8,1248.0,74.0,5.0
199.0,2017,1380000,50000,1.0,1.0,2.0,1.0,17.6,2179.0,153.86,7.0
200.0,2019,1300000,40000,1.0,1.0,1.0,1.0,17.3,1497.0,121.0,8.0
201.0,2013,530000,92500,1.0,1.0,1.0,1.0,22.32,1582.0,126.3,5.0
1.0,2012,360000,158000,1.0,1.0,1.0,1.0,23.4,1248.0,74.0,5.0
202.0,2012,310000,120000,1.0,1.0,1.0,1.0,19.3,1248.0,73.9,5.0
203.0,2015,725000,50000,1.0,1.0,1.0,2.0,26.0,1498.0,98.6,5.0
204.0,2012,340000,110000,1.0,1.0,1.0,1.0,19.3,1248.0,73.9,5.0
205.0,2017,550000,2000,1.0,1.0,1.0,2.0,25.4,1186.0,73.97,5.0
206.0,2016,380000,70000,1.0,1.0,1.0,1.0,27.28,1047.0,69.0,5.0
207.0,2013,350000,90000,2.0,1.0,2.0,2.0,17.97,1498.0,99.6,5.0
208.0,2019,610000,2000,2.0,1.0,1.0,1.0,18.6,1197.0,81.86,5.0
102.0,2015,525000,20000,2.0,1.0,1.0,1.0,20.85,1197.0,83.14,5.0
209.0,2011,480000,120000,1.0,1.0,1.0,1.0,12.8,2494.0,102.0,7.0
210.0,2017,780000,35000,1.0,1.0,1.0,1.0,16.55,2498.0,105.0,6.0
204.0,2012,320000,193000,1.0,1.0,1.0,1.0,19.3,1248.0,73.9,5.0
211.0,2014,375000,80000,2.0,1.0,1.0,1.0,20.4,1197.0,81.8,5.0
212.0,2019,300000,40000,2.0,1.0,1.0,1.0,19.02,1198.0,67.05,5.0
56.0,2015,500000,70000,1.0,1.0,1.0,4.0,22.54,1396.0,88.73,5.0
213.0,2011,404000,122358,1.0,1.0,1.0,1.0,12.05,2179.0,120.0,9.0
214.0,2017,350000,120000,1.0,1.0,1.0,1.0,27.28,1047.0,69.0,5.0
177.0,2015,380000,40000,2.0,1.0,1.0,1.0,17.57,1193.0,88.7,5.0
215.0,2014,335000,33033,2.0,2.0,1.0,1.0,19.4,1198.0,86.8,5.0
216.0,2015,465000,63063,2.0,2.0,2.0,1.0,18.9,1197.0,82.0,5.0
217.0,2012,290000,60000,1.0,1.0,1.0,1.0,21.02,1248.0,88.76,5.0
17.0,2005,110000,45000,2.0,1.0,1.0,2.0,19.7,796.0,46.3,5.0
218.0,2007,210000,207890,1.0,1.0,1.0,2.0,13.6,2523.0,63.0,7.0
219.0,2018,4600000,7976,1.0,1.0,2.0,1.0,17.9,2143.0,170.0,5.0
26.0,2016,220000,35000,2.0,1.0,1.0,1.0,16.8,796.0,34.2,8.0
220.0,2017,450000,35000,2.0,1.0,1.0,1.0,18.9,1197.0,82.0,5.0
220.0,2017,450000,35000,2.0,1.0,1.0,1.0,18.9,1197.0,82.0,5.0
221.0,2013,290000,50000,2.0,1.0,2.0,1.0,16.95,1197.0,78.9,5.0
221.0,2011,265000,20000,2.0,1.0,2.0,1.0,16.95,1197.0,78.9,5.0
89.0,2012,330000,50000,2.0,1.0,1.0,2.0,18.6,1197.0,85.8,5.0
89.0,2012,330000,50000,2.0,1.0,1.0,2.0,18.6,1197.0,85.8,5.0
222.0,2014,509999,120000,1.0,1.0,1.0,1.0,15.96,2523.0,62.1,7.0
223.0,2014,500000,70000,2.0,1.0,1.0,1.0,17.1,1591.0,121.3,5.0
224.0,2015,525000,50000,2.0,1.0,1.0,1.0,17.19,1197.0,81.86,5.0
225.0,2019,675000,16500,2.0,1.0,1.0,1.0,21.01,1197.0,81.8,5.0
226.0,2010,300000,70000,2.0,1.0,1.0,1.0,17.0,1197.0,80.0,5.0
227.0,2005,90000,99361,2.0,1.0,1.0,2.0,19.7,796.0,46.3,5.0
102.0,2014,409000,70000,2.0,1.0,1.0,2.0,19.1,1197.0,85.8,5.0
228.0,2015,395000,80000,1.0,1.0,1.0,2.0,24.0,1120.0,70.0,5.0
13.0,2010,215000,70000,2.0,1.0,1.0,2.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
102.0,2014,400000,70000,2.0,1.0,1.0,2.0,19.1,1197.0,85.8,5.0
229.0,2012,120000,60000,2.0,1.0,1.0,3.0,18.6,1199.0,79.4,5.0
230.0,2018,645000,10000,2.0,1.0,2.0,1.0,20.3,1199.0,84.0,5.0
36.0,2006,81000,80000,2.0,1.0,1.0,1.0,16.1,796.0,37.0,4.0
231.0,2017,1300000,30000,1.0,1.0,1.0,1.0,25.6,1498.0,97.9,5.0
231.0,2017,1250000,33000,1.0,1.0,1.0,1.0,25.6,1498.0,97.9,5.0
232.0,2013,535000,90000,2.0,1.0,1.0,3.0,16.02,1373.0,93.7,7.0
233.0,2014,555000,80100,1.0,1.0,1.0,2.0,19.01,1461.0,108.5,5.0
38.0,2014,725000,120000,2.0,1.0,1.0,1.0,17.4,1497.0,117.3,5.0
234.0,1983,300000,10000,1.0,1.0,1.0,3.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
235.0,2016,229999,40000,2.0,1.0,1.0,1.0,25.17,799.0,53.3,5.0
236.0,2013,800000,160000,1.0,1.0,1.0,2.0,12.99,2494.0,100.6,8.0
169.0,2017,409999,47000,2.0,1.0,1.0,1.0,20.51,998.0,67.04,5.0
237.0,2018,1210000,25000,1.0,1.0,1.0,1.0,21.38,1396.0,88.7,5.0
238.0,2017,400000,26000,2.0,1.0,1.0,1.0,23.84,1199.0,84.0,5.0
239.0,2018,520000,29000,1.0,1.0,1.0,1.0,24.0,1186.0,73.97,5.0
240.0,2016,650000,50000,2.0,1.0,2.0,1.0,21.4,1197.0,83.1,5.0
241.0,2011,325000,58000,2.0,1.0,1.0,3.0,16.1,1298.0,88.2,5.0
242.0,2012,420000,120000,2.0,1.0,2.0,1.0,17.4,1197.0,85.8,5.0
157.0,2003,65000,60000,2.0,1.0,1.0,4.0,17.3,993.0,60.0,5.0
243.0,2017,351000,36000,2.0,1.0,1.0,1.0,23.1,998.0,67.04,5.0
244.0,2007,404000,120000,1.0,1.0,1.0,3.0,12.8,2494.0,102.0,8.0
183.0,2011,185000,185000,1.0,1.0,1.0,3.0,21.1,1248.0,73.9,5.0
245.0,2011,250000,50000,1.0,1.0,1.0,1.0,23.08,1461.0,63.1,5.0
157.0,2002,60000,100000,2.0,1.0,1.0,4.0,17.3,993.0,60.0,5.0
223.0,2013,500000,50000,2.0,1.0,1.0,2.0,17.1,1591.0,121.3,5.0
81.0,2007,85000,80000,2.0,1.0,1.0,2.0,18.2,998.0,67.1,5.0
246.0,2005,85000,60000,2.0,1.0,1.0,2.0,19.5292373105782,1458.3272031778727,91.50002278741545,5.4190083860526705
17.0,2005,85000,80000,2.0,1.0,1.0,4.0,19.7,796.0,46.3,5.0
